name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Fitzhugh Brewing,15435 Fitzhugh Rd,Dripping Springs,TX,78620,,,4.5,32,1,-98.033611,30.245831,http://fitzhughbrewing.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|4:00 PM - 8:00 PM|4:00 PM - 8:00 PM|11:00 AM - 9:00 PM|12:00 PM - 7:00 PM|,Offers Takeout|Masks required|Accepts Credit Cards|Good For Kids|Private Lot Parking|Dogs Allowed|Wheelchair Accessible|Heated outdoor seating|Covered outdoor seating|,No Delivery|Offers Catering|No Happy Hour|
Ghost Note Brewing,23663 Ranch Rd 12,Dripping Springs,TX,78620,(512) 553-2870,,5,14,1,-98.091262,30.126403,http://www.ghostnotebrewing.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|3:00 PM - 7:00 PM|2:00 PM - 8:00 PM|12:00 PM - 8:00 PM|12:00 PM - 7:00 PM|,Offers Takeout|Accepts Credit Cards|Private Lot Parking|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|Covered outdoor seating|,No Delivery|Masks required|Staff wears masks|Offers Catering|Heated outdoor seating|
Twisted X Brewing Company,23455 W RR 150,Dripping Springs,TX,78620,(512) 829-5323,Moderate,4,183,1,-98.084876,30.165265,http://www.twistedxbrewing.com,Food Trucks|Brewpubs|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,12:00 PM - 8:00 PM|12:00 PM - 8:00 PM|12:00 PM - 8:00 PM|11:00 AM - 9:00 PM|11:00 AM - 9:00 PM|11:00 AM - 9:00 PM|12:00 PM - 8:00 PM|,Offers Delivery|Offers Takeout|All staff fully vaccinated|Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Offers Catering|Private Lot Parking|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Open to All|,Masks required|Staff wears masks|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|
Family Business Beer Company,19510 Hamilton Pool Rd,Dripping Springs,TX,78620,(512) 829-4202,Moderate,4.5,259,1,-98.078777,30.291913,http://familybusinessbeerco.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|3:00 PM - 9:00 PM|3:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|,Health Score|Offers Takeout|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Good For Kids|Private Lot Parking|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Women-owned|Covered outdoor seating|,No Delivery|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|Heated outdoor seating|
The Shady Llama,18325 Ranch Rd 12,Wimberley,TX,78676,(512) 539-7407,Moderate,4.5,82,1,-98.093138,30.061343,http://www.theshadyllama.com,Beer Gardens|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|3:00 PM - 8:00 PM|3:00 PM - 8:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 8:00 PM|,"Accepts Credit Cards|Outdoor Seating|Casual, Trendy, Romantic|Moderate Noise|Good for Groups|Private Lot Parking|Bike Parking|Best nights on Saturday|Beer & Wine Only|Smoking Outside Only|Wheelchair Accessible|TV|Women-owned|Heated outdoor seating|Covered outdoor seating|",Masks required|Staff wears masks|Accepts Cryptocurrency|Not Good For Dancing|No Wi-Fi|
Bell Springs Brewing Company,3700 Bell Springs Rd,Dripping Springs,TX,78620,(512) 777-0018,,5,5,1,-98.125869,30.238990,https://bellspringsbrewing.com,"Beer, Wine & Spirits|Wineries|",Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 8:00 PM|11:00 AM - 6:00 PM|,Offers Takeout|Accepts Credit Cards|Offers Catering|Bike Parking|Free Wi-Fi|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|,No Delivery|Masks required|Staff wears masks|No Drive-Thru|
Jester King Brewery,13187 Fitzhugh Rd,Austin,TX,78736,(512) 661-8736,$11-30,4,695,1,-97.999623,30.230299,http://jesterkingbrewery.com/,Breweries|Venues & Event Spaces|Pizza|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|11:00 AM - 10:00 PM|11:00 AM - 9:00 PM|,Takes Reservations|Offers Takeout|Masks required|Many Vegetarian Options|Accepts Credit Cards|Outdoor Seating|Classy|Moderate Noise|Offers Catering|Good For Kids|Private Lot Parking|Bike Parking|Beer & Wine Only|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|Open to All|,Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Not Good For Working|No Waiter Service|No Wi-Fi|No Happy Hour|No TV|
Treaty Oak Distilling,16604 Fitzhugh Rd,Dripping Springs,TX,78620,(512) 599-0335,Moderate,4.5,306,1,-98.054462,30.246701,http://treatyoakdistilling.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|11:00 AM - 6:00 PM|,Offers Delivery|Offers Takeout|Masks required|Staff wears masks|Accepts Credit Cards|Moderate Noise|Offers Catering|Good For Kids|Private Lot Parking|Bike Parking|Happy Hour Specials|Wheelchair Accessible|Offers Military Discount|Heated outdoor seating|Covered outdoor seating|,Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|
Beerburg Brewing,13476 Fitzhugh Rd,Austin,TX,78736,(512) 265-0543,Moderate,4.5,61,1,-98.004671,30.234354,http://www.beerburgbrewing.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|3:00 PM - 8:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 8:00 PM|,Offers Takeout|All staff fully vaccinated|Accepts Credit Cards|Good For Kids|Private Lot Parking|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|Open to All|Covered outdoor seating|,No Delivery|Masks required|Staff wears masks|Offers Catering|No Happy Hour|Heated outdoor seating|
12 Fox Beer,4700 W Fitzhugh Rd,Dripping Springs,TX,78620,(512) 626-4458,Moderate,4,71,1,-98.144341,30.256870,https://12foxbeer.com,Brewpubs|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|3:00 PM - 8:00 PM|3:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 7:00 PM|,Offers Takeout|Many Vegetarian Options|Accepts Credit Cards|Good For Kids|Private Lot Parking|Bike Parking|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|Heated outdoor seating|,No Delivery|Accepts Cryptocurrency|Offers Catering|
