name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Rentsch Brewery,2500 NE Inner Lp,Georgetown,TX,78626,(512) 688-5046,Inexpensive,4.5,67,1,-97.657076,30.667692,http://www.rentschbrewery.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 8:00 PM|,Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Good For Kids|Private Lot Parking|Bike Parking|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|,No Takeout|Accepts Apple Pay|Offers Catering|
Barking Armadillo Brewing,507 River Bend Dr,Georgetown,TX,78628,(512) 240-5137,,4.5,21,1,-97.691060,30.660814,http://www.barkingarmadillo.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 7:00 PM|,Offers Takeout|Accepts Credit Cards|Private Lot Parking|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Women-owned|Covered outdoor seating|,No Delivery|Masks required|Staff wears masks|Accepts Cryptocurrency|Offers Catering|
Strange Land Brewery,2500 Ne Inner LP,Georgetown,TX,78626,(512) 276-2295,,5,2,1,-97.656996,30.667662,http://strangelandbrewery.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 8:00 PM|,Private Lot Parking|,
Mesquite Creek Outfitters,704 S Austin Ave,Georgetown,TX,78626,(512) 943-9253,Moderate,4,74,1,-97.678275,30.637206,http://www.mesquitecreekoutfitters.com,"Beer, Wine & Spirits|Outdoor Gear|",Mon|Tue|Wed|Thu|Fri|Sat|Sun|,10:00 AM - 10:00 PM|10:00 AM - 10:00 PM|10:00 AM - 10:00 PM|10:00 AM - 10:00 PM|10:00 AM - 11:00 PM|10:00 AM - 11:00 PM|1:00 PM - 8:00 PM|,Many Vegetarian Options|Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|Street Parking|Bike Parking|Wheelchair Accessible|,No Takeout|Offers Catering|Not Good For Kids|
600 Degrees Pizzeria and Draft House,124 E 8th St,Georgetown,TX,78626,(512) 943-9272,$11-30,4,982,1,-97.676161,30.636477,http://www.600degreespizzeria.com/,Pizza|Gastropubs|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 9:00 PM|11:00 AM - 9:00 PM|11:00 AM - 9:00 PM|11:00 AM - 9:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 9:00 PM|,"Offers Delivery|Offers Takeout|Vegan Options|Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Outdoor Seating|Hipster, Casual, Classy|Moderate Noise|Good for Groups|Good For Kids|Good for Lunch, Dinner|Street Parking|Bike Parking|Waiter Service|Free Wi-Fi|Happy Hour Specials|Beer & Wine Only|Dogs Allowed|Wheelchair Accessible|TV|",No Reservations|Accepts Android Pay|Offers Catering|
Hard Count Kitchen And Cocktails,1500 Rivery BlvdSte 2105,Georgetown,TX,78628,(512) 688-3530,$11-30,4.5,48,1,-97.686922,30.649425,https://hardcountgtown.com,Sports Bars|American (New)|Breakfast & Brunch|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 11:00 PM|10:00 AM - 11:00 PM|10:00 AM - 10:00 PM|,Takes Reservations|Offers Takeout|Outdoor Seating|Classy|Good for Groups|Waiter Service|Full Bar|Wheelchair Accessible|TV|,No Delivery|Masks required|Staff wears masks|Covered outdoor seating|
Bluebonnet Beer Company,1700 Bryant DrSte 107,Round Rock,TX,78664,(512) 774-4258,Inexpensive,4.5,42,1,-97.647082,30.491928,http://bluebonnetbeerco.com/,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|5:00 PM - 9:00 PM|5:00 PM - 9:00 PM|3:00 PM - 9:00 PM|Closed|,Offers Takeout|Masks required|Staff wears masks|Accepts Credit Cards|Private Lot Parking|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|Women-owned|Open to All|,Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|No Bike Parking|
Hedgehog Brewing,3200 Woodall DrC-1,Cedar Park,TX,78613,,,5,9,1,-97.877283,30.515311,http://hedgehogatx.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|4:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 6:00 PM|,,
Bull Creek Brewery,7100 Fm 3405,Liberty Hill,TX,78642,(512) 940-5079,Inexpensive,4,25,1,-97.870210,30.705221,http://www.bullcreekbrewing.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|Closed|1:00 PM - 6:00 PM|1:00 PM - 6:00 PM|,Many Vegetarian Options|Accepts Credit Cards|Quiet|Good For Kids|Private Lot Parking|Bike Parking|Dogs Allowed|,No Takeout|
Whitestone Brewery,"601 E Whitestone BlvdSte 500, Bldg 5",Cedar Park,TX,78613,(512) 765-4828,Moderate,4.5,137,1,-97.825200,30.523771,http://www.whitestonebrewery.com/,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:30 PM|12:00 PM - 9:30 PM|12:00 PM - 10:30 PM|12:00 PM - 10:30 PM|12:00 PM - 9:00 PM|,Offers Takeout|Masks required|Staff wears masks|Limited Vegetarian Options|Accepts Credit Cards|Moderate Noise|Good For Kids|Good for Working|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Covered outdoor seating|,No Delivery|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|
