name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Fiesta Winery,309 Main StSte 9,Marble Falls,TX,78654,(830) 637-7702,,4.5,14,1,-98.276736,30.572343,https://www.fiestawinery.com/m…,Wine Bars|Wine Tasting Room|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|12:00 PM - 5:00 PM|,Street Parking|,
Perissos Vineyard and Winery,7214 Park Road 4 W,Burnet,TX,78611,(512) 820-2950,Moderate,4.5,114,1,-98.381065,30.711163,http://perissosvineyards.com/,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|12:00 PM - 5:00 PM|,Offers Takeout|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Good For Kids|Private Lot Parking|Bike Parking|Dogs Allowed|Wheelchair Accessible|Women-owned|Offers Military Discount|Open to All|,No Delivery|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|No Wi-Fi|
Spicewood Vineyards,1419 County Rd 409,Spicewood,TX,78669,(830) 693-5328,Moderate,4.5,110,1,-98.190160,30.458613,http://www.spicewoodvineyards.…,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|,Offers Delivery|Accepts Credit Cards|Private Lot Parking|Bike Parking|Dogs Allowed|Wheelchair Accessible|,No Takeout|Accepts Apple Pay|Offers Catering|Not Good For Kids|No Happy Hour|
Flat Creek Enoteca,112 US Hwy 281,Marble Falls,TX,78654,(830) 637-7123,$11-30,4,159,1,-98.276502,30.569471,http://www.flatcreekenoteca.co…,Wineries|Italian|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|Closed|,"Takes Reservations|Offers Delivery|Offers Takeout|Masks required|Accepts Credit Cards|Outdoor Seating|Casual, Classy|Moderate Noise|Casual Dress|Good for Groups|Good for Dinner|Private Lot Parking|Waiter Service|Beer & Wine Only|Wheelchair Accessible|TV|",Accepts Android Pay|Offers Catering|Not Good For Kids|No Bike Parking|No Wi-Fi|Dogs Not Allowed|
Iron Wolf Ranch and Distillery,101 County Rd 409,Spicewood,TX,78669,(512) 970-3203,Moderate,4.5,57,1,-98.169038,30.453874,http://ironwolfranch.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|4:00 PM - 7:00 PM|12:00 PM - 8:00 PM|12:00 PM - 6:00 PM|,Offers Takeout|Accepts Credit Cards|Offers Catering|Good For Kids|Private Lot Parking|Bike Parking|Wheelchair Accessible|Gender-neutral restrooms|Heated outdoor seating|Covered outdoor seating|,No Delivery|Accepts Apple Pay|
Heart of Texas Wine Tours,,Marble Falls,TX,78654,(512) 755-0937,,4,32,1,-98.104477,30.546296,https://heartoftexaswinetours.…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,,
Horseshoe Bay Resort,200 Hi Cir N,Horseshoe Bay,TX,78657,(877) 611-0112,Pricey,3,267,1,-98.360018,30.547014,https://www.hsbresort.com,Hotels|Venues & Event Spaces|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Accepts Credit Cards|Free Wi-Fi|Dogs Allowed|,Accepts Android Pay|Accepts Apple Pay|
AJE Transportation,,Spicewood,TX,78669,(512) 296-7871,,5,21,1,-98.156574,30.476050,http://ajetransportationcharte…,Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,6:00 AM - 10:00 PM|6:00 AM - 10:00 PM|6:00 AM - 10:00 PM|6:00 AM - 10:00 PM|6:00 AM - 10:00 PM|6:00 AM - 10:00 PM|6:00 AM - 10:00 PM|,,
Round Mountain Distilling,1313 Ranch Rd 962 E,Round Mountain,TX,78663,,,5,3,1,-98.326728,30.425728,Get Directions,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|11:00 AM - 5:00 PM|Closed|,,
Texas Tipsy Tours,,Fredericksburg,TX,78624,(512) 593-1858,,5,16,1,-98.871984,30.275201,https://www.texastipsytours.co…,Wine Tours|Beer Tours|Party Bus Rentals|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Accepts Credit Cards|Women-owned|Open to All|,Masks required|Staff wears masks|Accepts Cryptocurrency|No Wi-Fi|
