name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Bluebonnet Beer Company,1700 Bryant DrSte 107,Round Rock,TX,78664,(512) 774-4258,Inexpensive,4.5,42,1,-97.647082,30.491928,http://bluebonnetbeerco.com/,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|5:00 PM - 9:00 PM|5:00 PM - 9:00 PM|3:00 PM - 9:00 PM|Closed|,Offers Takeout|Masks required|Staff wears masks|Accepts Credit Cards|Private Lot Parking|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|Women-owned|Open to All|,Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|No Bike Parking|
The Brass Tap - Round Rock,204 E Main St,Round Rock,TX,78664,(512) 341-2337,Moderate,4,295,1,-97.677563,30.509283,http://www.thebrasstap.com/roundrock,Pubs|Beer Bar|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 12:00 AM ()|11:00 AM - 12:00 AM ()|11:00 AM - 12:00 AM ()|11:00 AM - 12:00 AM ()|11:00 AM - 1:00 AM ()|11:00 AM - 1:00 AM ()|11:00 AM - 12:00 AM ()|,"Staff wears masks|Accepts Credit Cards|Outdoor Seating|Casual, Classy|Moderate Noise|Good for Groups|Garage Parking, Street Parking|Bike Parking|Free Wi-Fi|Live Music|Best nights on Thursday, Friday, Saturday|Happy Hour Specials|Full Bar|Smoking Outside Only|Dogs Allowed|Wheelchair Accessible|TV|Heated outdoor seating|Covered outdoor seating|",No Reservations|Masks required|Accepts Apple Pay|Not Good For Dancing|Not Good For Working|No Pool Table|
Cork and Barrel Craft Kitchen and Microbrewery,4000 E Palm Valley Blvd,Round Rock,TX,78665,(512) 582-0155,,3.5,198,1,-97.621970,30.529767,https://corkandbarrelpub.com,Pubs|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 9:00 PM|,"Takes Reservations|Masks required|Staff wears masks|Outdoor Seating|Casual, Trendy, Classy|Good for Groups|Valet Parking, Private Lot Parking|Live Music|Best nights on Friday|Full Bar|TV|",Not Good For Dancing|No Pool Table|
Barking Armadillo Brewing,507 River Bend Dr,Georgetown,TX,78628,(512) 240-5137,,4.5,21,1,-97.691060,30.660814,http://www.barkingarmadillo.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 7:00 PM|,Offers Takeout|Accepts Credit Cards|Private Lot Parking|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Women-owned|Covered outdoor seating|,No Delivery|Masks required|Staff wears masks|Accepts Cryptocurrency|Offers Catering|
The Kenney Fort British Pub,3001 Joe Dimaggio BlvdSte 1400,Round Rock,TX,78665,(361) 268-1090,$11-30,4.5,141,1,-97.638342,30.523866,https://www.thekenneyfort.com,Pubs|British|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 11:00 PM|9:00 AM - 11:00 PM|9:00 AM - 8:00 PM|,"Takes Reservations|Offers Delivery|Offers Takeout|Vegan Options|Accepts Credit Cards|Accepts Apple Pay|Outdoor Seating|Casual, Trendy|Good for Groups|Good For Kids|Bike Parking|Waiter Service|Free Wi-Fi|Happy Hour Specials|Full Bar|Dogs Allowed|Wheelchair Accessible|TV|Offers Military Discount|",Masks required|Staff wears masks|Offers Catering|No Smoking|Heated outdoor seating|Covered outdoor seating|Private dining|
Rentsch Brewery,2500 NE Inner Lp,Georgetown,TX,78626,(512) 688-5046,Inexpensive,4.5,67,1,-97.657076,30.667692,http://www.rentschbrewery.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 8:00 PM|,Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Good For Kids|Private Lot Parking|Bike Parking|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|,No Takeout|Accepts Apple Pay|Offers Catering|
Strange Land Brewery,2500 Ne Inner LP,Georgetown,TX,78626,(512) 276-2295,,5,2,1,-97.656996,30.667662,http://strangelandbrewery.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 8:00 PM|,Private Lot Parking|,
Austin Beerworks,3001 Industrial Ter,Austin,TX,78758,(512) 821-2494,Moderate,4.5,300,1,-97.729848,30.379575,http://austinbeerworks.com,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 8:00 PM|,"Offers Delivery|Offers Takeout|Masks required|Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|Moderate Noise|Offers Catering|Good For Kids|Street Parking, Private Lot Parking|Bike Parking|Drive-Thru|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|",Accepts Cryptocurrency|No Happy Hour|
Pinthouse Pizza,2800 Hoppe Trl,Round Rock,TX,78681,(512) 717-0869,$11-30,4.5,390,1,-97.694052,30.539479,https://pinthouse.com/round-rock,Brewpubs|Pizza|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 11:00 PM|11:00 AM - 11:00 PM|11:00 AM - 10:00 PM|,"Offers Delivery|Offers Takeout|Masks required|Staff wears masks|Vegan Options|Many Vegetarian Options|Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|Loud|Offers Catering|Good for Groups|Good For Kids|Good for Working|Street Parking, Private Lot Parking|Bike Parking|Free Wi-Fi|Happy Hour Specials|Beer & Wine Only|Wheelchair Accessible|TV|Gender-neutral restrooms|Offers Military Discount|Open to All|",No Reservations|Accepts Cryptocurrency|No Waiter Service|Dogs Not Allowed|
Whitestone Brewery,"601 E Whitestone BlvdSte 500, Bldg 5",Cedar Park,TX,78613,(512) 765-4828,Moderate,4.5,137,1,-97.825200,30.523771,http://www.whitestonebrewery.com/,Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:30 PM|12:00 PM - 9:30 PM|12:00 PM - 10:30 PM|12:00 PM - 10:30 PM|12:00 PM - 9:00 PM|,Offers Takeout|Masks required|Staff wears masks|Limited Vegetarian Options|Accepts Credit Cards|Moderate Noise|Good For Kids|Good for Working|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Covered outdoor seating|,No Delivery|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|
