name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Treaty Oak Distilling,16604 Fitzhugh Rd,Dripping Springs,TX,78620,(512) 599-0335,Moderate,4.5,301,Open for Business,30.246701,-98.054462,http://treatyoakdistilling.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 9:00 PM|11:00 AM - 6:00 PM|,Offers Takeout|Masks required|Staff wears masks|Accepts Credit Cards|Moderate Noise|Offers Catering|Good For Kids|Private Lot Parking|Bike Parking|Happy Hour Specials|Wheelchair Accessible|Offers Military Discount|Heated outdoor seating|Covered outdoor seating|,No Delivery|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|
Dripping Springs Distilling,5330 Bell Springs Rd,Dripping Springs,TX,78620,(512) 858-1199,Moderate,5,88,Open for Business,30.205951,-98.119433,http://drippingspringsdistilli…,"Distilleries|Beer, Wine & Spirits|",Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|10:30 AM - 7:00 PM|10:30 AM - 5:00 PM|10:30 AM - 5:00 PM|10:30 AM - 5:00 PM|,Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Private Lot Parking|Bike Parking|Wheelchair Accessible|Gender-neutral restrooms|,No Delivery|No Takeout|Offers Catering|
Desert Door,211 Darden Hill RdA200,Driftwood,TX,78619,(512) 829-6129,Moderate,5,229,Open for Business,30.151326,-98.048232,http://www.desertdoor.com,Distilleries|Bars|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|3:30 PM - 8:00 PM|11:30 AM - 8:00 PM|11:30 AM - 8:00 PM|12:00 PM - 6:00 PM|,Takes Reservations|Offers Takeout|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Classy|Moderate Noise|Good for Groups|Good For Kids|Private Lot Parking|Free Wi-Fi|Live Music|Smoking Outside Only|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|,No TV|
Deep Eddy Vodka Tasting Room,2250 E Hwy 290,Dripping Springs,TX,78620,(512) 994-3534,Moderate,3.5,254,Open for Business,30.194249,-98.053194,http://www.deepeddyvodka.com,Distilleries|Wine Tasting Room|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|12:00 PM - 5:00 PM|,Masks required|Staff wears masks|Accepts Credit Cards|Moderate Noise|Private Lot Parking|Bike Parking|Free Wi-Fi|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|,No Delivery|No Takeout|No Vegetarian Options|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|Not Good For Kids|No Happy Hour|
One Shot Distillery and Brewery,31610 Ranch Rd 12,Dripping Springs,TX,78620,(512) 858-8755,,3.5,20,Open for Business,30.250705,-98.056940,http://www.oneshotdripping.com,Distilleries|Breweries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|5:00 PM - 9:00 PM|5:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 8:00 PM|,Offers Takeout|Staff wears masks|Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|Private Lot Parking|Bike Parking|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|,No Delivery|Masks required|Accepts Cryptocurrency|Offers Catering|
Frog Pond Distillery,261 Frog Pond Ln,Dripping Springs,TX,78620,(512) 657-7977,,4.5,36,Open for Business,30.191815,-98.038451,http://frogponddistillery.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|Closed|12:00 PM - 6:00 PM|12:00 PM - 6:00 PM|,Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Quiet|Good For Kids|Private Lot Parking|Wheelchair Accessible|Gender-neutral restrooms|Open to All|Covered outdoor seating|,No Delivery|No Takeout|Accepts Cryptocurrency|Offers Catering|No Bike Parking|
Stinson Distilling,18281 Ranch To Market Rd 150Ste 105,Driftwood,TX,78619,(512) 894-2009,Moderate,4.5,31,Open for Business,30.143382,-98.032056,http://StinsonDistilling.com,Distilleries|Wine Tasting Room|Cocktail Bars|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|12:00 PM - 8:00 PM|11:00 AM - 8:00 PM|Closed|,"Takes Reservations|By Appointment Only|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Outdoor Seating|Classy|Street Parking, Private Lot Parking|Free Wi-Fi|Happy Hour Specials|Full Bar|Smoking Outside Only|Dogs Allowed|TV|Gender-neutral restrooms|Offers Military Discount|",No Delivery|No Takeout|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|Not Good For Kids|Not Good For Dancing|No Bike Parking|Not Wheelchair Accessible|Covered outdoor seating|
Revolution Spirits,12345 Paul's Valley RdBldg G and H,Austin,TX,78737,(512) 358-1203,Moderate,5,37,Open for Business,30.235888,-98.010599,http://revolutionspirits.com/,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|1:00 PM - 7:00 PM|1:00 PM - 7:00 PM|1:00 PM - 7:00 PM|,Offers Takeout|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Offers Catering|Private Lot Parking|Bike Parking|Wheelchair Accessible|Gender-neutral restrooms|Offers Military Discount|Open to All|,No Delivery|Accepts Android Pay|Accepts Cryptocurrency|No Happy Hour|
Crowded Barrel Whiskey,16221 Crystal Hills Dr,Austin,TX,78737,(512) 850-9622,,5,17,Open for Business,30.145322,-97.966747,https://crowdedbarrelwhiskey.c…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|3:00 PM - 7:00 PM|3:00 PM - 7:00 PM|11:00 AM - 8:00 PM|11:00 AM - 8:00 PM|2:00 PM - 7:00 PM|,Offers Delivery|Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Private Lot Parking|Bike Parking|Wheelchair Accessible|Open to All|,No Takeout|Offers Catering|
Goodnight Loving Vodka Distillery + Tasting Room,12440 Trail Driver StSte 103,Austin,TX,78737,(512) 563-8485,,5,4,Open for Business,30.231623,-98.005641,,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|Closed|12:00 PM - 6:00 PM|Closed|,Accepts Credit Cards|Accepts Apple Pay|Private Lot Parking|Wheelchair Accessible|Gender-neutral restrooms|Open to All|,No Takeout|Accepts Cryptocurrency|
Andalusia Whiskey,6462 N US Hwy 281,Blanco,TX,78606,(830) 507-4359,Moderate,4.5,61,Open for Business,30.166931,-98.382365,https://www.andalusiawhiskey.c…,Distilleries|Whiskey Bars|Cocktail Bars|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|11:00 AM - 6:00 PM|12:00 PM - 5:00 PM|,"Many Vegetarian Options|Accepts Credit Cards|Outdoor Seating|Classy, Casual|Good for Groups|Good For Dancing|Private Lot Parking|Free Wi-Fi|Best nights on Friday, Saturday|Full Bar|TV|",No Reservations|No Takeout|Offers Catering|No Pool Table|No Bike Parking|
Iron Wolf Ranch and Distillery,101 County Rd 409,Spicewood,TX,78669,(512) 970-3203,Moderate,4.5,57,Open for Business,30.453874,-98.169038,http://ironwolfranch.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|4:00 PM - 7:00 PM|12:00 PM - 8:00 PM|12:00 PM - 6:00 PM|,Offers Takeout|Accepts Credit Cards|Offers Catering|Good For Kids|Private Lot Parking|Bike Parking|Wheelchair Accessible|Gender-neutral restrooms|Heated outdoor seating|Covered outdoor seating|,No Delivery|Accepts Apple Pay|
Cypress Creek Reserve,1400 Jacobs Well Rd,Wimberley,TX,78676,(512) 847-6874,Inexpensive,4.5,31,Open for Business,30.035228,-98.117766,http://www.cypresscreekreserve…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|11:30 AM - 5:30 PM|11:30 AM - 5:30 PM|11:30 AM - 5:30 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|Closed|,Many Vegetarian Options|Accepts Credit Cards|Private Lot Parking|Bike Parking|Wheelchair Accessible|,No Takeout|Accepts Apple Pay|Offers Catering|No Happy Hour|
Bell Springs Winery,3700 Bell Springs Rd,Dripping Springs,TX,78620,(512) 643-7398,Moderate,4,147,Open for Business,30.238971,-98.125869,http://www.bellspringswinery.c…,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|,"Masks required|Many Vegetarian Options|Accepts Credit Cards|Offers Catering|Street Parking, Private Lot Parking|Bike Parking|Free Wi-Fi|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|Covered outdoor seating|",No Delivery|No Takeout|Accepts Android Pay|Accepts Apple Pay|Not Good For Kids|No Happy Hour|Heated outdoor seating|
Sidecar Tasting Room,501 Old Fitzhugh Rd,Dripping Springs,TX,78620,(512) 607-4544,Moderate,4.5,42,Open for Business,30.197393,-98.088617,https://sidecartastingroom.com,Wine Bars|Wine Tasting Room|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|2:00 PM - 9:00 PM|2:00 PM - 10:00 PM|2:00 PM - 10:00 PM|2:00 PM - 9:00 PM|,"Takes Reservations|Offers Takeout|Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Outdoor Seating|Classy|Moderate Noise|Good for Groups|Good For Kids|Street Parking, Private Lot Parking|Bike Parking|Free Wi-Fi|Live Music|Best nights on Friday, Saturday, Sunday|Happy Hour Specials|Beer & Wine Only|Dogs Allowed|Wheelchair Accessible|TV|Gender-neutral restrooms|Covered outdoor seating|",No Delivery|Masks required|Staff wears masks|Offers Catering|Not Good For Dancing|No Smoking|Heated outdoor seating|
Still Austin Whiskey Co.,440 E St Elmo RdBldg F,Austin,TX,78745,(512) 276-2700,Moderate,4.5,181,Open for Business,30.216457,-97.761832,http://www.stillaustin.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|12:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 10:00 PM|11:00 AM - 10:00 PM|11:00 AM - 10:00 PM|,Offers Delivery|Offers Takeout|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Private Lot Parking|Bike Parking|Happy Hour Specials|Wheelchair Accessible|,Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|Not Good For Kids|
Hye Rum,231 Frog Pond Ln,Dripping Springs,TX,78620,(737) 274-4786,,,,Open for Business,30.192664,-98.039384,http://www.hyerum.com,Distilleries|Cocktail Bars|,||||||,||||||,By Appointment Only|Staff wears masks|Outdoor Seating|Heated outdoor seating|,Masks required|Covered outdoor seating|
Moonshine Ridge Distillery,104 E Pecan Dr,Johnson City,TX,78636,(512) 789-5601,,4.5,5,Open for Business,30.277424,-98.411415,https://www.moonshineridgeinc.…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|4:00 PM - 9:00 PM|12:00 PM - 11:00 PM|12:00 PM - 11:00 PM|12:00 PM - 11:00 PM|,Accepts Credit Cards|Bike Parking|,No Takeout|Offers Catering|No Happy Hour|Not Wheelchair Accessible|
Dark Star Black Car,,Dripping Springs,TX,78620,(737) 239-3422,,5,2,Open for Business,0.0,0.0,https://www.darkstarblackcar.c…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|10:00 AM - 6:00 PM|,Paid Wi-Fi|,
Milam and Greene Whiskey,208 Carlie Ln,Blanco,TX,78606,(830) 833-3033,Moderate,4.5,15,Open for Business,30.112255,-98.417738,https://milamandgreenewhiskey.…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|11:00 AM - 5:00 PM|11:00 AM - 5:00 PM|11:00 AM - 6:00 PM|11:00 AM - 5:00 PM|Closed|,Offers Takeout|Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Bike Parking|Happy Hour Specials|Wheelchair Accessible|Gender-neutral restrooms|,No Delivery|Masks required|Offers Catering|Heated outdoor seating|
Fierce Whiskers Distillery,5333 Fleming Ct,Austin,TX,78744,(512) 537-5779,,5,17,Open for Business,30.205246,-97.727269,http://www.fiercewhiskers.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|4:00 PM - 10:00 PM|4:00 PM - 10:00 PM|12:00 PM - 10:00 PM|12:00 PM - 10:00 PM|,All staff fully vaccinated|Staff wears masks|Private Lot Parking|Covered outdoor seating|,Masks required|
Texas Tipsy Tours,,Fredericksburg,TX,78624,(512) 593-1858,,5,15,Open for Business,30.275201,-98.871984,https://www.texastipsytours.co…,Wine Tours|Beer Tours|Party Bus Rentals|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Accepts Credit Cards|Women-owned|Open to All|,Masks required|Staff wears masks|Accepts Cryptocurrency|No Wi-Fi|
Taste of the Hills,251 Circle Dr,Wimberley,TX,78676,(512) 667-0518,,5,20,Open for Business,30.042592,-98.217400,http://www.tasteofthehillstour…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,,
Dripping With Taste Wine and Food Festival,600 W Hwy 290,Dripping Springs,TX,78620,(512) 858-4740,Pricey,2.5,16,Open for Business,30.190207,-98.086678,http://www.drippingwithtaste.c…,Wineries|Distilleries|Festivals|,||||||,||||||,Accepts Credit Cards|Private Lot Parking|,No Takeout|Not Good For Kids|
Planet Rock Vodka Distillery,5401 Hudson Bend Rd,Austin,TX,78734,(512) 565-0567,,4.5,12,Open for Business,30.419680,-97.929516,https://planetrockvodkadistill…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|5:00 PM - 11:00 PM|5:00 PM - 11:00 PM|12:00 PM - 12:00 AM ()|12:00 PM - 6:00 PM|,,
Round Mountain Distilling,1313 Ranch Rd 962 E,Round Mountain,TX,78663,,,5,3,Open for Business,30.425728,-98.326728,Get Directions,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|12:00 PM - 5:00 PM|11:00 AM - 5:00 PM|Closed|,,
Spicewood Vineyards,1419 County Rd 409,Spicewood,TX,78669,(830) 693-5328,Moderate,4.5,110,Open for Business,30.458613,-98.190160,http://www.spicewoodvineyards.…,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|,Offers Delivery|Accepts Credit Cards|Private Lot Parking|Bike Parking|Dogs Allowed|Wheelchair Accessible|,No Takeout|Accepts Apple Pay|Offers Catering|Not Good For Kids|No Happy Hour|
Slowpokes Wine Tours,100 Commons RdSte 7-345,Dripping Springs,TX,78620,(214) 226-0322,,5,16,Open for Business,30.191697,-98.084726,http://www.slowpokeswinerytour…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,,
ThunderDome Party Bus,,Austin,TX,78701,(512) 876-0066,,5,12,Open for Business,0.0,0.0,http://thunderdomepartybus.com,Party Bus Rentals|Tubing|Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|,Accepts Cryptocurrency|No Bike Parking|No Wi-Fi|Not Wheelchair Accessible|
Tweaked Distilling,11101 US-290,Austin,TX,78737,(512) 957-0680,,,,Open for Business,30.219623,-97.957516,http://www.tweakeddistilling.c…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|3:00 PM - 8:00 PM|12:00 AM - 8:00 PM|Closed|,Accepts Credit Cards|Bike Parking|Wheelchair Accessible|,No Takeout|Offers Catering|
The Austin Winery,440 E St Elmo RdSte A1,Austin,TX,78745,(512) 326-1445,Moderate,4.5,146,Open for Business,30.215386,-97.762430,http://www.theaustinwinery.com,Wine Tasting Room|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|4:00 PM - 8:00 PM|4:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 8:00 PM|,Offers Delivery|Offers Takeout|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Offers Catering|Private Lot Parking|Bike Parking|Free Wi-Fi|Dogs Allowed|Wheelchair Accessible|,Accepts Apple Pay|Accepts Cryptocurrency|Not Good For Kids|
Winding Road Wine Tours,,New Braunfels,TX,78130,(830) 355-8466,,5,22,Open for Business,29.840551,-98.410500,http://windingroadwinetours.co…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Women-owned|Open to All|,Masks required|Staff wears masks|No Wi-Fi|
Discover Texas Wine Tours,,Austin,TX,78737,(512) 656-8299,,4.5,38,Open for Business,30.266919,-97.743205,http://discovertexaswine.com,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|,,
