name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Schitz Creek Distillery,101 County Rd 257,Liberty Hill,TX,78642,(512) 778-5990,,3.5,3,Open for Business,30.693089,-97.876369,http://www.schitzcreek.com,Distilleries|Wine Tasting Room|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|12:00 PM - 6:00 PM|12:00 PM - 6:00 PM|12:00 PM - 6:00 PM|12:00 PM - 7:00 PM|12:00 PM - 6:00 PM|,Accepts Credit Cards|Wheelchair Accessible|,No Takeout|Offers Catering|No Bike Parking|No Wi-Fi|No Happy Hour|
Leanderthal Distilling,11894 Hero Way W,Leander,TX,78641,(512) 697-9127,,5,10,Open for Business,30.577406,-97.870852,https://leanderthaltx.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|5:00 PM - 9:00 PM|1:00 PM - 9:00 PM|Closed|,Offers Delivery|,
Spirit of Texas Distillery,1715 DalshankSte A,Pflugerville,TX,78660,(512) 989-9292,Moderate,4.5,20,Open for Business,30.480097,-97.584275,http://www.spiritoftx.com,Distilleries|Cocktail Bars|Venues & Event Spaces|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|4:00 PM - 10:00 PM|1:00 PM - 10:00 PM|Closed|,"Takes Reservations|Many Vegetarian Options|Accepts Credit Cards|Outdoor Seating|Moderate Noise|Offers Catering|Good For Kids|Street Parking, Private Lot Parking|Free Wi-Fi|Live Music|Full Bar|Smoking Outside Only|Dogs Allowed|Wheelchair Accessible|TV|Gender-neutral restrooms|",No Delivery|No Takeout|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|No Bike Parking|
Sangiovanni Distillery Pizzeria and Daiquiris,4701 Priem LnSte 3-A,Pflugerville,TX,78660,(512) 291-6094,,4.5,11,Open for Business,30.493545,-97.586815,http://atxvodka.net,Pizza|Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|5:00 PM - 9:00 PM|5:00 PM - 9:00 PM|5:00 PM - 9:00 PM|Closed|,Offers Takeout|Masks required|Staff wears masks|Accepts Credit Cards|Outdoor Seating|Waiter Service|Free Wi-Fi|Full Bar|Wheelchair Accessible|TV|Heated outdoor seating|Covered outdoor seating|,No Delivery|Offers Catering|No Bike Parking|No Happy Hour|Private dining|
Thirsty Mule Winery,101 County Rd 257,Liberty Hill,TX,78642,(512) 778-5990,Moderate,4,52,Open for Business,30.693089,-97.876369,http://www.thirstymule.com,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|11:30 AM - 6:00 PM|11:30 AM - 6:00 PM|11:00 AM - 7:00 PM|11:00 AM - 7:00 PM|12:00 PM - 5:00 PM|,Many Vegetarian Options|Accepts Credit Cards|Private Lot Parking|Bike Parking|Wheelchair Accessible|Gender-neutral restrooms|,No Takeout|Accepts Apple Pay|Offers Catering|Not Good For Kids|Covered outdoor seating|
Amber and Amethyst Tours,,Round Rock,TX,78665,(512) 669-1212,,5,2,Open for Business,0.0,0.0,http://www.aatouring.com,Wine Tours|Beer Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,8:00 AM - 7:00 PM|8:00 AM - 7:00 PM|8:00 AM - 7:00 PM|8:00 AM - 7:00 PM|8:00 AM - 7:00 PM|8:00 AM - 7:00 PM|9:00 AM - 7:00 PM|,Staff wears masks|Latinx-owned|Women-owned|Offers Military Discount|Open to All|,Masks required|No Wi-Fi|
ThunderDome Party Bus,,Austin,TX,78701,(512) 876-0066,,5,12,Open for Business,0.0,0.0,http://thunderdomepartybus.com,Party Bus Rentals|Tubing|Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|,Accepts Cryptocurrency|No Bike Parking|No Wi-Fi|Not Wheelchair Accessible|
Texas Tipsy Tours,,Fredericksburg,TX,78624,(512) 593-1858,,5,15,Open for Business,30.275201,-98.871984,https://www.texastipsytours.co…,Wine Tours|Beer Tours|Party Bus Rentals|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Accepts Credit Cards|Women-owned|Open to All|,Masks required|Staff wears masks|Accepts Cryptocurrency|No Wi-Fi|
Discover Texas Wine Tours,,Austin,TX,78737,(512) 656-8299,,4.5,38,Open for Business,30.266919,-97.743205,http://discovertexaswine.com,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|,,
Cool Bus Atx,,Lake Jackson,TX,77566,(832) 740-2665,,5,3,Open for Business,29.062037,-95.488268,https://cool-bus-atx.business.…,Bus Tours|Party Bus Rentals|Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,,Accepts Credit Cards|Accepts Cryptocurrency|No Wi-Fi|
Austin Nites Party Bus,,Austin,TX,78750,(512) 709-4391,,4,16,Open for Business,0.0,0.0,http://www.austinnitespartybus…,Party Bus Rentals|Wine Tours|Boating|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Accepts Credit Cards|Bike Parking|Free Wi-Fi|,Accepts Cryptocurrency|Not Wheelchair Accessible|
Wine Tour Austin Texas,,Austin,TX,78701,(512) 785-1078,,,,Open for Business,30.272921,-97.744386,http://winetouraustintx.com,Wine Tours|Limos|Party Characters|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Accepts Credit Cards|,Accepts Android Pay|Accepts Apple Pay|
Barons Creek Wine Room,706 S Austin Ave,Georgetown,TX,78626,(512) 688-5755,,4.5,27,Open for Business,30.637238,-97.678307,https://baronscreekwineroom.co…,Wine Tasting Room|Wine Bars|Music Venues|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|12:00 PM - 9:00 PM|12:00 PM - 5:00 PM|,Outdoor Seating|Street Parking|Live Music|,
Grape Creek Vineyards,101 W 7th St,Georgetown,TX,78626,(512) 863-4020,Moderate,3.5,91,Open for Business,30.637489,-97.677059,http://www.grapecreek.com/,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,12:00 PM - 6:30 PM|12:00 PM - 6:30 PM|12:00 PM - 6:30 PM|12:00 PM - 6:30 PM|12:00 PM - 6:30 PM|12:00 PM - 6:30 PM|12:00 PM - 5:00 PM|,Accepts Credit Cards|Street Parking|Bike Parking|,No Takeout|Accepts Apple Pay|Offers Catering|Not Good For Kids|Dogs Not Allowed|
