name,status,address,city,state,postal_code,longitude,latitude,telephone,price,rating_value,review_count,website,tags,day,hours,accommodations,unacommodations
Devils River Distillery,401 E Houston St,San Antonio,TX,78205,(833) 379-1840,Moderate,4.5,19,1,29.426758,-98.488320,http://www.devilsriverwhiskey.…,Distilleries|Whiskey Bars|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|4:00 PM - 11:00 PM|4:00 PM - 11:00 PM|4:00 PM - 11:00 PM|4:00 PM - 12:00 AM ()|12:00 PM - 12:00 AM ()|12:00 PM - 11:00 PM|,Offers Delivery|Staff wears masks|Accepts Credit Cards|Outdoor Seating|Classy|Street Parking|Free Wi-Fi|Happy Hour Specials|Full Bar|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|Covered outdoor seating|,No Reservations|
Alamo Distilling Company,621 Chestnut St,San Antonio,TX,78202,(210) 325-7853,,5,2,1,29.428408,-98.479402,http://alamodistilling.com,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,10:00 AM - 5:00 PM|10:00 AM - 5:00 PM|10:00 AM - 5:00 PM|10:00 AM - 5:00 PM|10:00 AM - 5:00 PM|Closed|Closed|,Offers Takeout|Accepts Credit Cards|Bike Parking|Wheelchair Accessible|,Offers Catering|
Maverick Whiskey,115 Broadway St,San Antonio,TX,78205,(210) 447-7010,,4.5,102,1,29.427180,-98.487936,https://maverickwhiskey.com,American (Traditional)|Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|12:00 PM - 5:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|2:00 PM - 9:00 PM|Closed|,Takes Reservations|Offers Takeout|Masks required|Staff wears masks|Vegan Options|Many Vegetarian Options|Accepts Credit Cards|Classy|Moderate Noise|Offers Catering|Valet Parking|Bike Parking|Waiter Service|Free Wi-Fi|Happy Hour Specials|Full Bar|Wheelchair Accessible|TV|Offers Military Discount|Private dining|,No Outdoor Seating|Dogs Not Allowed|
Dorćol Distilling Co. Bar + Brewery,1902 S Flores St,San Antonio,TX,78204,(210) 229-0607,Moderate,4.5,86,1,29.405712,-98.502258,http://dorcoldistilling.com,Breweries|Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|12:00 PM - 6:00 PM|12:00 PM - 6:00 PM|12:00 PM - 6:00 PM|Closed|Closed|,Offers Takeout|Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Street Parking|Bike Parking|Dogs Allowed|,Accepts Android Pay|Accepts Apple Pay|Offers Catering|Not Good For Kids|
Artisan Craft Bar,402 Austin St,San Antonio,TX,78215,(210) 896-5070,Inexpensive,4.5,90,1,29.431628,-98.478772,http://www.artisanonalamo.com,Distilleries|Brewpubs|Venues & Event Spaces|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|5:00 PM - 12:00 AM ()|5:00 PM - 2:00 AM ()|5:00 PM - 2:00 AM ()|12:00 PM - 6:00 PM|,"Offers Delivery|Accepts Credit Cards|Moderate Noise|Street Parking, Private Lot Parking|Bike Parking|Free Wi-Fi|Happy Hour Specials|Dogs Allowed|Wheelchair Accessible|Gender-neutral restrooms|Covered outdoor seating|",No Takeout|Masks required|Staff wears masks|Accepts Android Pay|Accepts Apple Pay|Offers Catering|Heated outdoor seating|
Rebecca Creek Distillery,26605 Bulverde Rd,San Antonio,TX,78260,(830) 714-4581,Moderate,4,55,1,29.694172,-98.454702,http://rebeccacreekdistillery.…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|6:00 PM - 10:00 PM|6:00 PM - 11:00 PM|4:00 PM - 11:00 PM|12:00 PM - 11:00 PM|12:00 PM - 5:00 PM|,"Many Vegetarian Options|Accepts Credit Cards|Moderate Noise|Street Parking, Private Lot Parking|Bike Parking|Happy Hour Specials|Wheelchair Accessible|Heated outdoor seating|Covered outdoor seating|",No Delivery|No Takeout|Masks required|Staff wears masks|Accepts Android Pay|Accepts Apple Pay|Offers Catering|
Cottonwood Wine Tours,,San Antonio,TX,78205,(210) 488-6867,,5,39,1,29.427447,-98.488419,http://www.cottonwoodwinetours…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,10:00 AM - 6:30 PM|10:00 AM - 6:30 PM|9:30 AM - 6:30 PM|9:30 AM - 6:30 PM|9:30 AM - 6:30 PM|10:00 AM - 6:30 PM|10:00 AM - 6:30 PM|,Masks required|Staff wears masks|Latinx-owned|Women-owned|Offers Military Discount|Open to All|,No Wi-Fi|
Seersucker Gin Distillery,8501 Cover Rd,San Antonio,TX,78263,(210) 817-1580,,4.5,18,1,29.337522,-98.312908,http://seersuckergin.com,Distilleries|Cocktail Bars|Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|12:00 PM - 7:00 PM|12:00 PM - 7:00 PM|12:00 PM - 7:00 PM|12:00 PM - 7:00 PM|,Many Vegetarian Options|Outdoor Seating|TV|,
San Antonio Detours,225 W Craig Pl,San Antonio,TX,78212,(210) 632-7839,,5,41,1,29.452146,-98.496631,http://sanantoniodetours.com,Food Tours|Scavenger Hunts|Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 1:30 PM|,Wheelchair Accessible|Offers Military Discount|,
Texas Tipsy Tours,,Fredericksburg,TX,78624,(512) 593-1858,,5,15,1,30.275201,-98.871984,https://www.texastipsytours.co…,Wine Tours|Beer Tours|Party Bus Rentals|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Accepts Credit Cards|Women-owned|Open to All|,Masks required|Staff wears masks|Accepts Cryptocurrency|No Wi-Fi|
Taste of the Hills,251 Circle Dr,Wimberley,TX,78676,(512) 667-0518,,5,20,1,30.042592,-98.217400,http://www.tasteofthehillstour…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,,
Chapline Distillery,30790 Blanco Rd,Bulverde,TX,78163,(210) 542-6901,,3.5,3,1,29.750337,-98.512141,http://www.chaplinedistillery.…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|3:00 PM - 8:00 PM|12:00 PM - 5:00 PM|Closed|,Offers Takeout|All staff fully vaccinated|Accepts Credit Cards|Private Lot Parking|Wheelchair Accessible|Offers Military Discount|,No Delivery|Masks required|Staff wears masks|Accepts Apple Pay|Accepts Cryptocurrency|
Winding Road Wine Tours,,New Braunfels,TX,78130,(830) 355-8466,,5,22,1,29.840551,-98.410500,http://windingroadwinetours.co…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Women-owned|Open to All|,Masks required|Staff wears masks|No Wi-Fi|
Open Range Tours,275 Hill Top Dr,Fredericksburg,TX,78624,(830) 391-9336,,4.5,19,1,30.401053,-98.962296,http://www.openrangetours.com,Wine Tours|Beer Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,7:00 AM - 7:00 PM|7:00 AM - 7:00 PM|7:00 AM - 7:00 PM|7:00 AM - 7:00 PM|7:00 AM - 7:00 PM|7:00 AM - 7:00 PM|7:00 AM - 7:00 PM|,Offers Military Discount|,
Fredericksburg Uncorked Wine Tours,588 FM 2093,Fredericksburg,TX,78624,(830) 998-6113,Pricey,5,30,1,30.251950,-98.904149,http://www.fredericksburguncor…,Wine Tours|Wine Tasting Room|Beer Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,10:00 AM - 6:00 PM|10:00 AM - 6:00 PM|10:00 AM - 6:00 PM|10:00 AM - 6:00 PM|10:00 AM - 6:00 PM|10:00 AM - 6:00 PM|10:00 AM - 6:00 PM|,By Appointment Only|Accepts Credit Cards|Offers Catering|Bike Parking|Wheelchair Accessible|Gender-neutral restrooms|,No Takeout|Not Good For Kids|
Dark Star Black Car,,Dripping Springs,TX,78620,(737) 239-3422,,5,2,1,0,0,https://www.darkstarblackcar.c…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|10:00 AM - 6:00 PM|,Paid Wi-Fi|,
Joyrides and Detours,,San Antonio,TX,78217,(210) 943-1022,,,,1,0,0,http://joyridesndetours.com,Wine Tours|,||||||,||||||,,No Wi-Fi|
Yellow Rose of Texas Wine Tours,,Fredericksburg,TX,78624,(210) 449-4382,,3.5,8,1,0,0,http://yellowroseoftexaswineto…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|,Paid Wi-Fi|,
830 Elevated Wine Tours,,Fredericksburg,TX,78624,(830) 998-2295,,4.5,12,1,30.275201,-98.871984,https://830elevatedwinetours.c…,Wine Tours|Town Car Service|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Free Wi-Fi|Offers Military Discount|Open to All|,Masks required|Staff wears masks|
A - B Wine Tours and Transportation,,Fredericksburg,TX,78624,(830) 431-6333,,,,1,30.275201,-98.871984,https://abwinetours.square.sit…,Taxis|Wine Tours|,||||||,||||||,,Masks required|Staff wears masks|
Texas Hill Country Wineries,,Johnson City,TX,78636,(872) 216-9463,Moderate,4.5,2,1,29.412178,-98.512518,http://texaswinetrail.com/,Wineries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|Closed|,Offers Delivery|Accepts Credit Cards|Drive-Thru|,Not Good For Kids|No Bike Parking|
Stray Grape Urban Winery,16630 San Pedro Ave,San Antonio,TX,78232,(210) 344-9463,Moderate,4.5,35,1,29.593319,-98.470454,http://straygrape.com,Wine Tasting Room|Wine Tasting Classes|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|2:00 PM - 7:00 PM|2:00 PM - 7:00 PM|2:00 PM - 9:00 PM|12:00 PM - 6:00 PM|Closed|,Offers Delivery|Offers Takeout|Accepts Credit Cards|Private Lot Parking|Bike Parking|Free Wi-Fi|,Accepts Apple Pay|Offers Catering|Not Good For Kids|
