name,address,address,city,state,postal_code,telephone,price,rating_value,review_count,status,longitude,latitude,website,tags,days,hours,accommodations,unaccommodations
Cypress Creek Reserve,1400 Jacobs Well Rd,Wimberley,TX,78676,(512) 847-6874,Inexpensive,4.5,31,Open for Business,30.035228,-98.117766,http://www.cypresscreekreserve…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|11:30 AM - 5:30 PM|11:30 AM - 5:30 PM|11:30 AM - 5:30 PM|11:00 AM - 6:00 PM|11:00 AM - 6:00 PM|Closed|,Many Vegetarian Options|Accepts Credit Cards|Private Lot Parking|Bike Parking|Wheelchair Accessible|,No Takeout|Accepts Apple Pay|Offers Catering|No Happy Hour|
Desert Door,211 Darden Hill RdA200,Driftwood,TX,78619,(512) 829-6129,Moderate,5,229,Open for Business,30.151326,-98.048232,http://www.desertdoor.com,Distilleries|Bars|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|3:30 PM - 8:00 PM|11:30 AM - 8:00 PM|11:30 AM - 8:00 PM|12:00 PM - 6:00 PM|,Takes Reservations|Offers Takeout|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Classy|Moderate Noise|Good for Groups|Good For Kids|Private Lot Parking|Free Wi-Fi|Live Music|Smoking Outside Only|Dogs Allowed|Wheelchair Accessible|Offers Military Discount|Open to All|,No TV|
Stinson Distilling,18281 Ranch To Market Rd 150Ste 105,Driftwood,TX,78619,(512) 894-2009,Moderate,4.5,31,Open for Business,30.143382,-98.032056,http://StinsonDistilling.com,Distilleries|Wine Tasting Room|Cocktail Bars|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|Closed|Closed|12:00 PM - 8:00 PM|11:00 AM - 8:00 PM|Closed|,"Takes Reservations|By Appointment Only|Masks required|Staff wears masks|Many Vegetarian Options|Accepts Credit Cards|Outdoor Seating|Classy|Street Parking, Private Lot Parking|Free Wi-Fi|Happy Hour Specials|Full Bar|Smoking Outside Only|Dogs Allowed|TV|Gender-neutral restrooms|Offers Military Discount|",No Delivery|No Takeout|Accepts Android Pay|Accepts Apple Pay|Accepts Cryptocurrency|Offers Catering|Not Good For Kids|Not Good For Dancing|No Bike Parking|Not Wheelchair Accessible|Covered outdoor seating|
Crowded Barrel Whiskey,16221 Crystal Hills Dr,Austin,TX,78737,(512) 850-9622,,5,17,Open for Business,30.145322,-97.966747,https://crowdedbarrelwhiskey.c…,Distilleries|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Closed|Closed|3:00 PM - 7:00 PM|3:00 PM - 7:00 PM|11:00 AM - 8:00 PM|11:00 AM - 8:00 PM|2:00 PM - 7:00 PM|,Offers Delivery|Many Vegetarian Options|Accepts Credit Cards|Accepts Apple Pay|Private Lot Parking|Bike Parking|Wheelchair Accessible|Open to All|,No Takeout|Offers Catering|
Taste of the Hills,251 Circle Dr,Wimberley,TX,78676,(512) 667-0518,,5,20,Open for Business,30.042592,-98.217400,http://www.tasteofthehillstour…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,,
Texas Tipsy Tours,,Fredericksburg,TX,78624,(512) 593-1858,,5,15,Open for Business,30.275201,-98.871984,https://www.texastipsytours.co…,Wine Tours|Beer Tours|Party Bus Rentals|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Accepts Credit Cards|Women-owned|Open to All|,Masks required|Staff wears masks|Accepts Cryptocurrency|No Wi-Fi|
Dark Star Black Car,,Dripping Springs,TX,78620,(737) 239-3422,,5,2,Open for Business,0.0,0.0,https://www.darkstarblackcar.c…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 7:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|10:00 AM - 6:00 PM|,Paid Wi-Fi|,
Cottonwood Wine Tours,,San Antonio,TX,78205,(210) 488-6867,,5,39,Open for Business,29.427447,-98.488419,http://www.cottonwoodwinetours…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,10:00 AM - 6:30 PM|10:00 AM - 6:30 PM|9:30 AM - 6:30 PM|9:30 AM - 6:30 PM|9:30 AM - 6:30 PM|10:00 AM - 6:30 PM|10:00 AM - 6:30 PM|,Masks required|Staff wears masks|Latinx-owned|Women-owned|Offers Military Discount|Open to All|,No Wi-Fi|
Winding Road Wine Tours,,New Braunfels,TX,78130,(830) 355-8466,,5,22,Open for Business,29.840551,-98.410500,http://windingroadwinetours.co…,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|9:00 AM - 5:00 PM|,Women-owned|Open to All|,Masks required|Staff wears masks|No Wi-Fi|
ThunderDome Party Bus,,Austin,TX,78701,(512) 876-0066,,5,12,Open for Business,0.0,0.0,http://thunderdomepartybus.com,Party Bus Rentals|Tubing|Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|Open 24 hours|,Accepts Credit Cards|Accepts Android Pay|Accepts Apple Pay|,Accepts Cryptocurrency|No Bike Parking|No Wi-Fi|Not Wheelchair Accessible|
Texan Wine and Spirit Tours,201 Ranch Rd 1320,Johnson City,TX,78636,(830) 456-7682,,4.5,7,Open for Business,30.249339,-98.547133,,Wine Tours|Art Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 10:00 PM|9:00 AM - 10:00 PM|9:00 AM - 10:00 PM|9:00 AM - 10:00 PM|9:00 AM - 10:00 PM|9:00 AM - 10:00 PM|9:00 AM - 10:00 PM|,,No Wi-Fi|
Discover Texas Wine Tours,,Austin,TX,78737,(512) 656-8299,,4.5,38,Open for Business,30.266919,-97.743205,http://discovertexaswine.com,Wine Tours|,Mon|Tue|Wed|Thu|Fri|Sat|Sun|,9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|9:00 AM - 9:00 PM|,,
